ticker,company,market_cap_eur,momentum_12_1,return_6m,return_3m,vol_60d_ann,beta_1y_vs_stoxx50,max_drawdown_1y,adv_60d_shares,adv_60d_eur,dividend_yield_ttm
BAYN.DE,Bayer,28549244518.302372,0.34653681806326664,0.16057202222359201,0.016097326566538506,0.2927418460759295,,-0.21673708680537673,2020641.3,57396317.51396427,0.0038725575546884614
CAP.PA,Capgemini,22301825145.0,-0.18641194469887734,-0.09121847823851448,0.05533596837944654,0.29602473767093196,,-0.3507683817593782,440236.7833333333,58771610.574999996,0.02546816479400749
BN.PA,Danone,51261132089.88224,0.20462561190875417,0.03833952339079194,0.05394530936059794,0.16019525399920434,,-0.1340179097929547,997255.2333333333,78324426.93901443,0.027374585879014743
DB1.DE,Deutsche Boerse,38359119822.48001,0.07153587218149315,-0.28263134402903856,-0.2066973988168388,0.17333826309964967,,-0.2863851903385628,293515.11666666664,60493467.3364741,0.019408053767795443
DHL.DE,Deutsche Post,51148361496.25006,0.15636874808665047,0.15649659892953705,0.062333942234846784,0.24152407119446473,,-0.2631579709952002,1572310.25,69134483.61182404,0.042074140292016504
DTE.DE,Deutsche Telekom,133634704537.90549,0.060811023443056555,-0.1919311625355301,-0.13633484526286943,0.17589903124384623,,-0.24344551669782521,5241805.316666666,142786775.62624598,0.03303964785470541
ENI.MI,ENI,49098133571.349686,0.12576057298697774,0.3080240708191899,0.11155159012904026,0.16277607412561482,,-0.22449260963585016,10620802.766666668,174967114.66376263,0.06130872544219306
ENEL.MI,Enel,90455347300.51543,0.3400669510397136,0.14201320624599378,0.1087923641985602,0.10339458044471389,,-0.1275693983785946,17689776.966666665,158836509.00324744,0.05234435852630926
EL.PA,EssilorLuxottica,148127677808.3432,0.20200107420644664,0.2755999755859375,0.15753173828125,0.3110472535896607,,-0.21264366791976907,385284.35,122867176.86341095,0.012386328239573998
RACE.MI,Ferrari,64168358400.0,-0.16066041549400434,-0.17487964686621604,-0.10625617946882138,0.4077387798772946,,-0.3286867889170788,551837.0,198661320.0,0.008294444444444445
RMS.PA,Hermes,226865701524.0,0.10339190560787181,-0.09144542772861353,0.025202092249167807,0.2790916584384565,,-0.2813619202696228,54411.1,117310331.6,0.012059369202226345
INGA.AS,ING Groep,66224921991.83065,0.5158442479149343,0.226989170654893,0.052916274124573226,0.2118067114501185,,-0.19978801223001408,7501537.583333333,167921920.51988235,0.054545453987738954
IBE.MC,Iberdrola,120495934724.72061,0.3139940978752007,0.1407965688514492,0.08775632873349415,0.12016643579153899,,-0.09917096017420102,8554701.65,154284042.95240614,0.03576379292803558
ITX.MC,Inditex,152483824537.88556,-0.04271969661555097,0.05324146294326049,0.13135725918129548,0.24452255074292276,,-0.25233742110123525,2690618.45,131113835.83683263,0.034475682655073156
IFX.DE,Infineon,47070444901.58176,0.12857640554306493,0.057052974367153286,-0.030357233808025574,0.3366100726897731,,-0.36790861484739823,3453113.933333333,121877649.95415954,0.00991641927064757
ISP.MI,Intesa Sanpaolo,103954037356.69958,0.5186716882975555,0.17688877491968147,0.039834940587441414,0.21321700662060974,,-0.21180273866187016,50727780.28333333,293967490.61213917,0.058843830113990005
KER.PA,Kering,39404037849.1658,0.48000081401356565,0.8499711509397099,0.4464246105652643,0.40358707746931316,,-0.43977153238809097,332327.51666666666,106544203.87169953,0.01871490918831335
AD.AS,Koninklijke Ahold Delhaize,32648594969.98134,0.15782371930968608,-0.024885918287340658,0.020886194112209155,0.11784451222544544,,-0.10059192134801065,1670257.8,60413221.56766663,0.03262372296753721
OR.PA,L'Oreal,191681483890.0,0.22845383612939418,-0.03740450931876449,-0.11728549489875473,0.24343248469668557,,-0.1297024795100019,324983.2,116668968.8,0.019498607242339833
MC.PA,LVMH,316341394278.0,0.07245949109929195,0.32985386221294366,0.2906494088846068,0.3652136612294687,,-0.41148765049249847,495290.65,315500144.05,0.02040816326530612
MBG.DE,Mercedes-Benz,57350545873.02701,0.0706984524629386,0.1784725028564942,0.10153507877663848,0.197214112520957,,-0.2516853833910824,1922121.8333333333,114481579.03296597,0.0721961031036558
MUV2.DE,Munich Re,71023940636.4267,0.20988980231067056,-0.03800147025567113,-0.02911936089950562,0.17432800715408406,,-0.15202363480530356,210000.66666666666,114828361.96984863,0.0365764455861189
NDA-FI.HE,Nordea Bank,51903114276.82378,0.4924578700575184,0.15366701645826453,0.09623888725059149,0.1851722422278646,,-0.1745846676048981,3875013.183333333,57602070.083329864,0.06323578973922123
PRX.AS,Prosus,139250897343.44794,0.5477916604730895,0.3501342195264694,0.15984592619614513,0.23600909369556752,,-0.22468723075706432,2078347.45,126238827.60143718,0.00329272299099891
RHM.DE,Rheinmetall,77867668527.0,2.0973970851444643,-0.03167928231006445,0.10882825040128408,0.37549694647742854,,-0.1857218124341412,174304.56666666668,301023986.6333334,0.004690214244354372
SAP.DE,SAP,254349571607.98645,0.07643076487041034,-0.18979076571189768,-0.09689836961062837,0.29147369579211324,,-0.24061119487231997,1318006.5166666666,278231183.7128067,0.011132164528918333
STM.MI,STMicroelectronics,,,,,,,,,,
SAF.PA,Safran,127992295514.03012,0.40401398728850246,0.2081378025619658,0.052558717316276704,0.18229001493513183,,-0.23091679210070393,453550.65,138060815.09174654,0.009526938430183369
SGO.PA,Saint-Gobain,41638226324.21244,0.056478977872071345,-0.13489111653337238,-0.15282052847055283,0.22965783032025727,,-0.2770538576586671,1029696.1666666666,85052901.795475,0.026634383058605854
